"date","tmin","tmax","rain","year","month","day","wy"
03/27/05,-1.11111111111111,8.33333333333333,0,2005,3,27,2005
03/28/05,-2.77777777777778,11.1111111111111,14.224,2005,3,28,2005
03/29/05,-2.77777777777778,1.66666666666667,5.08,2005,3,29,2005
03/30/05,-5,2.22222222222222,0.508,2005,3,30,2005
03/31/05,-2.77777777777778,5,0,2005,3,31,2005
04/01/05,2.22222222222222,13.3333333333333,0,2005,4,1,2005
04/02/05,1.11111111111111,13.8888888888889,0,2005,4,2,2005
04/03/05,0,11.6666666666667,0,2005,4,3,2005
04/04/05,-3.88888888888889,7.22222222222222,19.05,2005,4,4,2005
04/05/05,-3.88888888888889,3.33333333333333,0,2005,4,5,2005
04/06/05,-1.11111111111111,15,0,2005,4,6,2005
04/07/05,2.77777777777778,16.6666666666667,0,2005,4,7,2005
04/08/05,-5.55555555555556,3.88888888888889,9.652,2005,4,8,2005
04/09/05,-7.22222222222222,2.77777777777778,23.114,2005,4,9,2005
04/10/05,-6.11111111111111,1.66666666666667,0,2005,4,10,2005
04/11/05,-7.22222222222222,6.11111111111111,0,2005,4,11,2005
04/12/05,0.555555555555556,12.2222222222222,0,2005,4,12,2005
04/13/05,-1.66666666666667,12.2222222222222,0,2005,4,13,2005
04/14/05,-3.33333333333333,3.88888888888889,0,2005,4,14,2005
04/15/05,-0.555555555555556,10,0,2005,4,15,2005
04/16/05,2.77777777777778,14.4444444444444,0,2005,4,16,2005
04/17/05,3.33333333333333,15.5555555555556,0,2005,4,17,2005
04/18/05,2.77777777777778,12.7777777777778,0,2005,4,18,2005
04/19/05,-3.33333333333333,7.77777777777778,0,2005,4,19,2005
04/20/05,-3.88888888888889,3.88888888888889,0,2005,4,20,2005
04/21/05,-3.88888888888889,7.22222222222222,0,2005,4,21,2005
04/22/05,-0.555555555555556,12.2222222222222,0,2005,4,22,2005
04/23/05,-0.555555555555556,12.7777777777778,2.54,2005,4,23,2005
04/24/05,0,8.33333333333333,0,2005,4,24,2005
04/25/05,-1.11111111111111,3.33333333333333,4.572,2005,4,25,2005
04/26/05,0.555555555555556,6.66666666666667,0,2005,4,26,2005
04/27/05,1.11111111111111,10,0,2005,4,27,2005
04/28/05,-0.555555555555556,8.33333333333333,7.62,2005,4,28,2005
04/29/05,-2.77777777777778,2.22222222222222,25.908,2005,4,29,2005
04/30/05,0,6.66666666666667,0,2005,4,30,2005
05/01/05,0.555555555555556,8.88888888888889,0,2005,5,1,2005
05/02/05,1.66666666666667,8.88888888888889,1.016,2005,5,2,2005
05/03/05,1.66666666666667,10,0,2005,5,3,2005
05/04/05,2.22222222222222,13.3333333333333,0,2005,5,4,2005
05/05/05,2.77777777777778,10.5555555555556,12.7,2005,5,5,2005
05/06/05,0,4.44444444444444,32.004,2005,5,6,2005
05/07/05,-1.11111111111111,4.44444444444444,7.366,2005,5,7,2005
05/08/05,-1.11111111111111,6.11111111111111,0,2005,5,8,2005
05/09/05,0,10,41.91,2005,5,9,2005
05/10/05,-5.55555555555556,2.77777777777778,19.812,2005,5,10,2005
05/11/05,-5.55555555555556,4.44444444444444,5.588,2005,5,11,2005
05/12/05,-0.555555555555556,7.22222222222222,0,2005,5,12,2005
05/13/05,3.88888888888889,13.3333333333333,0,2005,5,13,2005
05/14/05,5,15.5555555555556,0,2005,5,14,2005
05/15/05,5,16.6666666666667,0,2005,5,15,2005
05/16/05,7.77777777777778,16.1111111111111,16.51,2005,5,16,2005
05/17/05,2.60346674457104,14.2467456486763,20.32,2005,5,17,2005
05/18/05,0,11.1111111111111,0,2005,5,18,2005
05/19/05,6.11111111111111,17.2222222222222,0,2005,5,19,2005
05/20/05,6.66666666666667,20,0,2005,5,20,2005
05/21/05,4.44444444444444,20.5555555555556,0,2005,5,21,2005
05/22/05,7.22222222222222,19.4444444444444,0,2005,5,22,2005
05/23/05,8.88888888888889,21.1111111111111,0,2005,5,23,2005
05/24/05,7.77777777777778,21.6666666666667,0,2005,5,24,2005
